ranking,titulo,anio,puntaje,genero,votos,direccion,duracion,ganancias
9411,Saawariya,2007,5.4,"Drama, Musical, Romántica",6698,Sanjay Leela Bhansali,142,0.89
9412,Derailed,2002,3.9,"Acción, Suspenso",6698,Bob Misiorowski,89,NA
9413,Awara Paagal Deewana,2002,6.4,"Acción, Comedia, Crimen",6697,Vikram Bhatt,158,NA
9414,Rugrats Go Wild,2003,5.6,"Animación, Aventura, Comedia",6693,John Eng,80,39.4
9415,Reconstruction,2003,7.4,"Drama, Romántica",6688,Christoffer Boe,92,0.07
9416,Piranha Part Two: The Spawning,1981,3.6,"Drama, Horror, Romántica",6687,James Cameron,94,NA
9417,Yellowbeard,1983,6,"Acción, Aventura, Comedia",6686,Mel Damski,96,4.3
9418,Truly Madly Deeply,1990,7.3,"Comedia, Drama, Fantasía",6685,Anthony Minghella,106,1.55
9419,Summertime,1955,7.4,"Romántica, Drama",6682,David Lean,99,NA
9420,Dinner at Eight,1933,7.8,"Comedia, Drama",6680,George Cukor,111,NA
9421,Kingu Kongu tai Gojira,1962,5.9,"Acción, Aventura, Fantasía",6679,Ishirô Honda,97,2.73
9422,The Veteran,2011,5.9,"Acción, Suspenso",6679,Matthew Hope,98,NA
9423,They Were Expendable,1945,7.3,"Drama, Guerra",6678,John Ford,135,NA
9424,Vaaranam Aayiram,2008,8,"Drama, Musical, Romántica",6677,Gautham Menon,169,NA
9425,Gregory's Girl,1980,7.1,"Comedia, Drama, Romántica",6676,Bill Forsyth,91,NA
9426,Enas allos kosmos,2015,7.4,"Drama, Romántica",6676,Christopher Papakaliatis,113,NA
9427,Soldiers of Fortune,2012,4.3,"Acción, Suspenso",6676,Maxim Korostyshevsky,94,0.04
9428,Ben-Hur: A Tale of the Christ,1925,8,"Aventura, Drama, Romántica",6675,Fred Niblo,143,12.45
9429,Viral,2016,5.5,"Drama, Horror, Ciencia Ficción",6674,Henry Joost,85,NA
