anio,equipo,codigo_pais,ronda,resultado,goles,id_partido_anio,numero_equipo
2011,Suecia,SWE,Fase de grupos,Victoria,1,13,2
2011,Estados Unidos,USA,Fase de grupos,Victoria,3,14,1
2011,Colombia,COL,Fase de grupos,Derrota,0,14,2
2011,Australia,AUS,Fase de grupos,Victoria,3,15,1
2011,Guinea Ecuatorial,EQG,Fase de grupos,Derrota,2,15,2
2011,Brasil,BRA,Fase de grupos,Victoria,3,16,1
2011,Noruega,NOR,Fase de grupos,Derrota,0,16,2
2011,Inglaterra,ENG,Fase de grupos,Victoria,2,17,1
2011,Japón,JPN,Fase de grupos,Derrota,0,17,2
2011,Nueva Zelanda,NZL,Fase de grupos,Empate,2,18,1
2011,México,MEX,Fase de grupos,Empate,2,18,2
2011,Francia,FRA,Fase de grupos,Derrota,2,19,1
2011,Alemania,GER,Fase de grupos,Victoria,4,19,2
2011,Canadá,CAN,Fase de grupos,Derrota,0,20,1
2011,Nigeria,NGA,Fase de grupos,Victoria,1,20,2
2011,Guinea Ecuatorial,EQG,Fase de grupos,Derrota,0,21,1
2011,Brasil,BRA,Fase de grupos,Victoria,3,21,2
2011,Australia,AUS,Fase de grupos,Victoria,2,22,1
2011,Noruega,NOR,Fase de grupos,Derrota,1,22,2
2011,Suecia,SWE,Fase de grupos,Victoria,2,23,1
2011,Estados Unidos,USA,Fase de grupos,Derrota,1,23,2
2011,Corea del Norte,PRK,Fase de grupos,Empate,0,24,1
2011,Colombia,COL,Fase de grupos,Empate,0,24,2
2011,Inglaterra,ENG,Cuartos de final,Derrota,1,25,1
2011,Francia,FRA,Cuartos de final,Victoria,1,25,2
2011,Alemania,GER,Cuartos de final,Derrota,0,26,1
2011,Japón,JPN,Cuartos de final,Victoria,1,26,2
2011,Suecia,SWE,Cuartos de final,Victoria,3,27,1
2011,Australia,AUS,Cuartos de final,Derrota,1,27,2
2011,Brasil,BRA,Cuartos de final,Derrota,2,28,1
2011,Estados Unidos,USA,Cuartos de final,Victoria,2,28,2
2011,Francia,FRA,Semifinales,Derrota,1,29,1
2011,Estados Unidos,USA,Semifinales,Victoria,3,29,2
2011,Japón,JPN,Semifinales,Victoria,3,30,1
2011,Suecia,SWE,Semifinales,Derrota,1,30,2
2011,Suecia,SWE,Tercer lugar,Victoria,2,31,1
2011,Francia,FRA,Tercer lugar,Derrota,1,31,2
2011,Japón,JPN,Final,Victoria,2,32,1
2011,Estados Unidos,USA,Final,Derrota,2,32,2
2015,Canadá,CAN,Fase de grupos,Empate,1,1,1
2015,República Popular China,CHN,Fase de grupos,Empate,1,1,2
2015,Nueva Zelanda,NZL,Fase de grupos,Derrota,0,2,1
2015,Países Bajos,NED,Fase de grupos,Victoria,2,2,2
2015,Noruega,NOR,Fase de grupos,Victoria,4,3,1
2015,Tailandia,THA,Fase de grupos,Derrota,0,3,2
2015,Alemania,GER,Fase de grupos,Victoria,10,4,1
2015,Costa de Marfil,CIV,Fase de grupos,Derrota,0,4,2
2015,Suecia,SWE,Fase de grupos,Empate,3,5,1
2015,Nigeria,NGA,Fase de grupos,Empate,3,5,2
2015,Camerún,CMR,Fase de grupos,Victoria,6,6,1
2015,Ecuador,ECU,Fase de grupos,Derrota,0,6,2
2015,Estados Unidos,USA,Fase de grupos,Victoria,3,7,1
2015,Australia,AUS,Fase de grupos,Derrota,1,7,2
2015,Japón,JPN,Fase de grupos,Victoria,1,8,1
2015,Suiza,SUI,Fase de grupos,Derrota,0,8,2
2015,Francia,FRA,Fase de grupos,Victoria,1,9,1
2015,Inglaterra,ENG,Fase de grupos,Derrota,0,9,2
2015,España,ESP,Fase de grupos,Empate,1,10,1
2015,Costa Rica,CRC,Fase de grupos,Empate,1,10,2
2015,Colombia,COL,Fase de grupos,Empate,1,11,1
2015,México,MEX,Fase de grupos,Empate,1,11,2
2015,Brasil,BRA,Fase de grupos,Victoria,2,12,1
2015,Corea del Sur,KOR,Fase de grupos,Derrota,0,12,2
2015,Alemania,GER,Fase de grupos,Empate,1,13,1
2015,Noruega,NOR,Fase de grupos,Empate,1,13,2
2015,República Popular China,CHN,Fase de grupos,Victoria,1,14,1
2015,Países Bajos,NED,Fase de grupos,Derrota,0,14,2
2015,Costa de Marfil,CIV,Fase de grupos,Derrota,2,15,1
2015,Tailandia,THA,Fase de grupos,Victoria,3,15,2
2015,Canadá,CAN,Fase de grupos,Empate,0,16,1
2015,Nueva Zelanda,NZL,Fase de grupos,Empate,0,16,2
2015,Australia,AUS,Fase de grupos,Victoria,2,17,1
2015,Nigeria,NGA,Fase de grupos,Derrota,0,17,2
2015,Suiza,SUI,Fase de grupos,Victoria,10,18,1
