id,descripcion,id_anfitrion,nombre_anfitrion,anfitrion_desde,superanfitrion,barrio,latitud,longitud,tipo_alojamiento,huespedes,politica_cancelacion
9616276,Private Room In A Beautiful Apartment In Condesa,49763915,Pablo,2015-11-24,TRUE,Cuauhtémoc,19.40901,-99.16971,Habitación privada,2,moderate
9616647,3BR + Studio Apartment in Polanco,14935584,Alfonso,2014-04-30,FALSE,Miguel Hidalgo,19.43327,-99.18865,Alojamiento entero,6,strict_14_with_grace_period
9626861,Beautiful Loft at Downtown,49794854,Uriel,2015-11-24,FALSE,Cuauhtémoc,19.43545,-99.1521,Alojamiento entero,2,flexible
9627572,Super Located Designer Lofty-Apt !!,27215085,Miguel,2015-02-04,TRUE,Cuauhtémoc,19.40743,-99.1788,Alojamiento entero,4,strict_14_with_grace_period
9628535,Habitación al sur,46714032,Sándor,2015-10-16,FALSE,Coyoacán,19.33681,-99.16039,Habitación privada,1,moderate
9635793,Beautiful Apt. Condesa Building,16868255,Authier,2014-06-16,TRUE,Cuauhtémoc,19.41684,-99.17536,Alojamiento entero,5,strict_14_with_grace_period
9636492,Secure living in lively Centro,2009110,Tanja,2012-03-26,FALSE,Cuauhtémoc,19.42883,-99.14676,Habitación privada,1,flexible
9644862,Habitación en el centro histórico,49869515,Marco Antonio,2015-11-25,FALSE,Cuauhtémoc,19.43787,-99.13701,Habitación privada,2,strict_14_with_grace_period
9649215,Casa Molcajete,16551488,Mónica,2014-06-09,TRUE,Coyoacán,19.35183,-99.16286,Alojamiento entero,2,flexible
9653160,ALOJAMIENTO ZONA NORTE DF,49901970,Alan,2015-11-25,FALSE,Azcapotzalco,19.49874,-99.19699,Habitación privada,1,flexible
9653249,NICE CLEAN ILUMMINATED LOCATED,48747453,Apartments & Rooms,2015-11-11,FALSE,Cuauhtémoc,19.41985,-99.1683,Alojamiento entero,5,moderate
9655509,"Private room near Coyoacan, next to the CENART.",38210156,Luis Manuel,2015-07-12,TRUE,Iztapalapa,19.36205,-99.13181,Alojamiento entero,2,flexible
9663454,2Br Apt in Downtwon- Pick Up Service,1004821,Angela,2011-08-22,FALSE,Cuauhtémoc,19.43618,-99.14002,Alojamiento entero,6,strict_14_with_grace_period
9666752,★ Retro ★ Artistic | 24h Access| Elevator| Doorman,842287,José Jorge,2011-07-20,FALSE,Cuauhtémoc,19.41674,-99.17541,Habitación privada,2,moderate
9669701,Apartment-Studio in Central Area,49969638,Adrián,2015-11-27,FALSE,Benito Juárez,19.38148,-99.18016,Alojamiento entero,2,moderate
9679034,"IDEAL LOCATION: BUSINESS, PLEASURE AND REST",50006192,Ignacio,2015-11-27,FALSE,Cuauhtémoc,19.4353,-99.15248,Alojamiento entero,2,strict_14_with_grace_period
9689920,The Gallery condesa + Roof,13485129,Mim,2014-03-24,FALSE,Cuauhtémoc,19.40587,-99.16981,Habitación privada,1,moderate
9696304,Departamento en Polanco,50073352,Gaby,2015-11-28,FALSE,Miguel Hidalgo,19.43184,-99.19652,Alojamiento entero,2,flexible
9698203,COZY HOUSE IN THE HEART OF MX CITY,17875052,Sebastian,2014-07-09,TRUE,Miguel Hidalgo,19.40342,-99.17234,Alojamiento entero,6,strict_14_with_grace_period
9698541,En el corazón de la Condesa,50084000,Pablo,2015-11-28,FALSE,Cuauhtémoc,19.41452,-99.17093,Alojamiento entero,5,moderate
9707339,Tu casa en CDMX! espléndida ubicación WTC,32597062,Angela Maria,2015-05-04,FALSE,Benito Juárez,19.39327,-99.17435,Alojamiento entero,4,moderate
9714335,P. H. Amueblado de lujo.Minimalista,50149963,Erick,2015-11-29,FALSE,Miguel Hidalgo,19.43803,-99.18002,Alojamiento entero,4,flexible
9715507,Cosy Bedroom near Reforma,33507575,Anne,2015-05-16,FALSE,Cuauhtémoc,19.43265,-99.16734,Habitación privada,1,flexible
9716162,Great apt in heart of polanco,50002951,Lia,2015-11-27,FALSE,Miguel Hidalgo,19.43744,-99.19172,Alojamiento entero,3,moderate
9717429,Comfy double/twin room in Condesa,50163785,Alex,2015-11-30,FALSE,Cuauhtémoc,19.40443,-99.17356,Habitación privada,1,flexible
9727717,Luxurious studio apt in La Condesa apartament 2308,21774394,Mario,2014-09-25,FALSE,Cuauhtémoc,19.42021,-99.17096,Alojamiento entero,2,strict_14_with_grace_period
9728865,"Great location, excellent room!",12807218,Marco,2014-03-04,FALSE,Cuauhtémoc,19.40589,-99.17116,Habitación privada,2,strict_14_with_grace_period
