anio	anfitrion	partidos_crudo
1974	west-germany	(2)  14 June    East Germany  2-0   Australia    @ Volksparkstadion, Hamburg
1974	west-germany	(9)  18 June    Chile         1-1   East Germany   @ Olympiastadion, West Berlin
1974	west-germany	(10) 18 June    Australia     0-3   West Germany   @ Volksparkstadion, Hamburg
1974	west-germany	(17) 22 June    Australia     0-0   Chile          @ Olympiastadion, West Berlin
1974	west-germany	(18) 22 June    East Germany  1-0   West Germany   @ Volksparkstadion, Hamburg
1974	west-germany	(3)  13 June    Brazil      0-0   Yugoslavia      @ Waldstadion, Frankfurt
1974	west-germany	(4)  14 June    Zaire       0-2   Scotland        @ Westfalenstadion, Dortmund
1974	west-germany	(11) 18 June    Yugoslavia  9-0   Zaire           @ Parkstadion, Gelsenkirchen
1974	west-germany	(12) 18 June    Scotland    0-0   Brazil          @ Waldstadion, Frankfurt
1974	west-germany	(19) 22 June    Scotland    1-1   Yugoslavia      @ Waldstadion, Frankfurt
1974	west-germany	(20) 22 June    Zaire       0-3   Brazil          @ Parkstadion, Gelsenkirchen
1974	west-germany	(5)  15 June    Uruguay      0-2    Netherlands    @ Niedersachsenstadion, Hanover
1974	west-germany	(6)  15 June    Sweden       0-0    Bulgaria       @ Rheinstadion, Düsseldorf
1974	west-germany	(13) 19 June    Netherlands  0-0    Sweden         @ Westfalenstadion, Dortmund
1974	west-germany	(14) 19 June    Uruguay      1-1    Bulgaria       @ Niedersachsenstadion, Hanover
1974	west-germany	(21) 23 June    Netherlands  4-1    Bulgaria       @ Westfalenstadion, Dortmund
1974	west-germany	(22) 23 June    Sweden       3-0    Uruguay        @ Rheinstadion, Düsseldorf
1974	west-germany	(7)  15 June    Italy       3-1    Haiti          @ Olympiastadion, Munich
1974	west-germany	(8)  15 June    Poland      3-2    Argentina      @ Neckarstadion, Stuttgart
1974	west-germany	(15) 19 June    Haiti       0-7    Poland         @ Olympiastadion, Munich
1974	west-germany	(16) 19 June    Argentina   1-1    Italy          @ Neckarstadion, Stuttgart
1974	west-germany	(23) 23 June    Argentina   4-1    Haiti          @ Olympiastadion, Munich
1974	west-germany	(24) 23 June    Poland      2-1    Italy          @ Neckarstadion, Stuttgart
1974	west-germany	(25) 26 June    Brazil         1-0   East Germany     @ Niedersachsenstadion, Hanover
1974	west-germany	(26) 26 June    Netherlands    4-0   Argentina        @ Parkstadion, Gelsenkirchen
1974	west-germany	(29) 30 June    East Germany   0-2   Netherlands      @ Parkstadion, Gelsenkirchen
1974	west-germany	(30) 30 June    Argentina      1-2   Brazil           @ Niedersachsenstadion, Hanover
1974	west-germany	(33) 3 July     Argentina      1-1   East Germany     @ Parkstadion, Gelsenkirchen
1974	west-germany	(34) 3 July     Netherlands    2-0   Brazil           @ Westfalenstadion, Dortmund
1974	west-germany	(27) 26 June    Yugoslavia    0-2   West Germany   @ Rheinstadion, Düsseldorf
1974	west-germany	(28) 26 June    Sweden        0-1   Poland         @ Neckarstadion, Stuttgart
1974	west-germany	(31) 30 June    West Germany  4-2   Sweden         @ Rheinstadion, Düsseldorf
1974	west-germany	(32) 30 June    Poland        2-1   Yugoslavia     @ Waldstadion, Frankfurt
1974	west-germany	(35) 3 July     Poland        0-1   West Germany   @ Waldstadion, Frankfurt
1974	west-germany	(36) 3 July     Sweden        2-1   Yugoslavia     @ Rheinstadion, Düsseldorf
1974	west-germany	(37) 6 July     Brazil        0-1  Poland        @ Olympiastadion, Munich
1974	west-germany	(38) 7 July     Netherlands   1-2  West Germany  @ Olympiastadion, Munich
1978	argentina	(2)  2 June   Argentina    2-1    Hungary  @ Estadio Monumental, Buenos Aires
1978	argentina	(3)  2 June   Italy        2-1    France   @ Estadio José María Minella, Mar del Plata
1978	argentina	(9)  6 June   Argentina    2-1    France    @ Estadio Monumental, Buenos Aires
1978	argentina	(10) 6 June   Italy        3-1    Hungary   @ Estadio José María Minella, Mar del Plata
1978	argentina	(17) 10 June  Argentina    0-1    Italy     @ Estadio Monumental, Buenos Aires
1978	argentina	(18) 10 June  France       3-1    Hungary   @ Estadio José María Minella, Mar del Plata
1978	argentina	(1)  1 June   West Germany    0-0    Poland   @ Estadio Monumental, Buenos Aires
1978	argentina	(4)  2 June   Tunisia         3-1    Mexico   @ Estadio Gigante de Arroyito, Rosario
1978	argentina	(11) 6 June   Poland          1-0    Tunisia  @ Estadio Gigante de Arroyito, Rosario
